cluster,player,season,hits,homeruns,age
16,puckeki01,1984,165,0,24
16,ramirra01,1984,157,2,26
16,randowi01,1984,162,2,30
16,whitalo01,1984,161,13,27
16,wiggial01,1984,154,3,26
16,wilsomo01,1984,162,10,28
16,wilsowi02,1984,163,2,29
16,brookhu01,1985,163,13,29
16,cruzjo01,1985,163,9,38
16,fernato01,1985,163,2,23
16,oestero01,1985,155,1,29
16,rayjo01,1985,163,7,28
16,templga01,1985,154,6,29
16,trammal01,1985,156,13,27
16,bradlph01,1986,163,12,27
16,butlebr01,1986,163,4,29
16,doranbi02,1986,152,6,28
16,fletcsc01,1986,159,3,28
16,morelke01,1986,159,12,32
16,samueju01,1986,157,16,26
16,tablepa01,1986,154,6,28
16,wilsogl01,1986,158,15,28
16,yountro01,1986,163,9,31
16,barrema02,1987,164,3,29
16,brockgr01,1987,159,13,30
16,butlebr01,1987,154,9,30
16,francju01,1987,158,8,29
16,guilloz01,1987,156,2,23
16,jamesdi01,1987,154,10,25
16,lansfca01,1987,160,19,30
16,thompmi02,1987,159,7,28
16,whitalo01,1987,160,16,30
16,baineha01,1988,166,13,29
16,bradlph01,1988,150,11,29
16,burksel01,1988,159,18,24
16,butlebr01,1988,163,6,31
16,colemvi01,1988,160,3,27
16,gladdda01,1988,155,11,31
16,grubeke01,1988,158,16,26
16,gwynnto01,1988,163,7,28
16,lansfca01,1988,155,7,31
16,lawva01,1988,163,11,32
16,lindjo01,1988,160,2,24
16,mcgeewi01,1988,164,3,30
16,perryge01,1988,164,8,28
16,ramirra01,1988,156,6,30
16,samueju01,1988,153,12,28
16,smithoz01,1988,155,3,34
16,thomaan01,1988,153,13,25
16,wallati01,1988,152,12,31
16,wilsowi02,1988,155,1,33
16,bradlph01,1989,151,11,30
16,downibr01,1989,154,14,39
16,gallada01,1989,160,1,29
16,gracema01,1989,160,13,25
16,grubeke01,1989,158,18,27
16,guilloz01,1989,151,1,25
16,herrto01,1989,161,2,33
16,oquenjo01,1989,162,1,26
16,palmera01,1989,154,8,25
16,pendlte01,1989,162,13,29
16,randowi01,1989,155,2,35
16,rayjo01,1989,153,5,32
16,reedjo01,1989,151,3,27
16,smithoz01,1989,162,2,35
16,thompmi02,1989,158,4,30
16,wallati01,1989,159,13,32
16,whitede03,1989,156,12,27
16,biggicr01,1990,153,4,25
16,jacobbr01,1990,162,14,31
16,jamesch02,1990,158,12,28
16,johnsla03,1990,154,1,27
16,puckeki01,1990,164,12,30
16,reynoha01,1990,162,5,30
16,saxst01,1990,160,4,30
16,wilsomo01,1990,156,3,34
16,bagweje01,1991,163,15,23
16,biggicr01,1991,161,4,26
16,fernato01,1991,152,4,29
16,greenmi01,1991,163,9,28
16,johnsla03,1991,161,0,28
16,knoblch01,1991,159,1,23
16,mcgeewi01,1991,155,4,33
16,mcraebr01,1991,164,8,24
16,phillto02,1991,160,17,32
16,raineti01,1991,163,5,32
16,reynoha01,1991,160,3,31
16,samueju01,1991,161,12,31
16,smithoz01,1991,157,3,37
16,zeileto01,1991,158,11,26
16,bagweje01,1992,160,18,24
16,bordimi01,1992,151,3,27
16,deshide01,1992,155,7,23
16,duncama01,1992,153,8,29
16,gwynnto01,1992,165,6,32
16,hallme01,1992,163,15,32
16,harpebr01,1992,154,9,33
16,johnsla03,1992,158,3,29
16,joynewa01,1992,154,9,30
16,kellyro01,1992,158,10,28
16,krukjo01,1992,164,10,31
16,larkiba01,1992,162,12,28
16,loftoke01,1992,164,5,25
16,polonlu01,1992,165,0,29
16,raineti01,1992,162,7,33
16,ripkeca01,1992,160,14,32
16,smithoz01,1992,153,0,38
16,whitede03,1992,159,17,30
16,claytro01,1993,155,6,23
16,corajo01,1993,155,2,28
16,francju01,1993,154,14,35
16,gagnegr01,1993,151,10,32
16,gatesbr01,1993,155,7,23
16,gonzalu01,1993,162,15,26
16,hamilda02,1993,161,9,29
16,harpebr01,1993,161,12,34
16,mclemma01,1993,165,4,29
16,offerjo01,1993,159,1,25
16,polonlu01,1993,156,1,30
16,smithoz01,1993,157,1,39
16,surhobj01,1993,151,7,29
16,vizcajo01,1993,158,4,25
16,whitede03,1993,163,15,31
16,willibe02,1993,152,12,25
16,zeileto01,1993,158,17,28
16,gwynnto01,1994,165,12,34
16,loftoke01,1994,160,12,27
16,molitpa01,1994,155,14,38
16,alomaro01,1995,155,13,27
16,bellde01,1995,151,8,27
16,frymatr01,1995,156,15,26
16,larkiba01,1995,158,15,31
16,seitzke01,1995,153,5,33
16,beckeri01,1996,153,12,24
16,boggswa01,1996,156,2,38
16,corajo01,1996,154,6,31
16,durhara01,1996,153,10,25
16,gwynnto01,1996,159,3,36
16,jordabr01,1996,159,17,29
16,mabryjo01,1996,161,13,26
16,mclemma01,1996,150,5,32
16,phillto02,1996,161,12,37
16,seitzke01,1996,155,12,34
16,valenjo02,1996,156,13,29
16,vinafe01,1996,157,7,27
16,vizquom01,1996,161,9,29
16,alfoned01,1997,163,10,24
16,blausje01,1997,160,17,32
16,claytro01,1997,153,9,27
16,coomero01,1997,156,13,31
16,cordewi01,1997,160,18,26
16,erstada01,1997,161,16,23
16,jeffere01,1997,156,13,29
16,loftoke01,1997,164,5,30
16,molitpa01,1997,164,10,41
16,moranmi01,1997,163,1,31
16,oleartr01,1997,154,15,28
16,vizcajo01,1997,151,5,29
16,vizquom01,1997,158,5,30
16,brosisc01,1998,159,19,32
16,carusmi01,1998,160,5,21
16,disarga01,1998,158,3,31
16,erstada01,1998,159,19,24
16,fernato01,1998,156,9,36
16,finlest01,1998,154,14,33
16,goodwto01,1998,151,2,30
16,guilljo01,1998,153,14,22
16,huntebr02,1998,151,4,27
16,knoblch01,1998,160,17,30
16,kotsama01,1998,161,11,23
16,lansimi01,1998,161,12,30
16,lewisda01,1998,157,8,31
16,mcgrifr01,1998,160,19,35
16,muellbi02,1998,157,9,27
16,ripkeca01,1998,163,14,38
16,seguida01,1998,159,19,32
16,benarma01,1999,163,16,28
16,bushho01,1999,155,5,27
16,fernato01,1999,159,6,37
16,gonzaal02,1999,155,14,22
16,grudzma01,1999,159,7,29
16,mclemma01,1999,155,6,35
16,renteed01,1999,161,11,23
16,vidrojo01,1999,150,12,25
16,alicelu01,2000,159,6,35
16,belliro01,2000,150,8,25
16,deshide01,2000,166,10,31
16,encarju01,2000,158,14,24
16,guzmacr01,2000,156,8,22
16,kennead01,2000,159,9,24
16,kotsama01,2000,158,12,25
16,muellbi02,2000,150,10,29
16,olerujo01,2000,161,14,32
16,oneilpa01,2000,160,18,37
16,renteed01,2000,156,16,24
16,anderma02,2001,153,11,27
16,caseyse01,2001,165,13,27
16,catalfr01,2001,153,11,27
16,cedenro01,2001,153,6,27
16,coninje01,2001,163,14,35
16,damonjo01,2001,165,9,28
16,erstada01,2001,163,9,27
16,gonzaal01,2001,161,17,28
16,gutieri01,2001,153,10,31
16,kendaja01,2001,161,10,27
16,rivaslu01,2001,150,7,22
16,vidrojo01,2001,155,15,27
16,vizquom01,2001,156,2,34
16,alomaro01,2002,157,11,34
16,kendaja01,2002,154,3,28
16,loducpa01,2002,163,10,30
16,randajo01,2002,155,11,33
16,renteed01,2002,166,11,26
16,rolliji01,2002,156,11,24
16,spiveju01,2002,162,16,27
16,vizquom01,2002,160,14,35
16,womacto01,2002,160,5,33
16,youngmi02,2002,150,9,26
16,byrdma01,2003,150,7,26
16,damonjo01,2003,166,12,30
16,grudzma01,2003,151,3,33
16,jeterde01,2003,156,10,29
16,jonesja04,2003,157,16,28
16,liebemi01,2003,159,13,31
16,loducpa01,2003,155,7,31
16,pierzaj01,2003,152,11,27
16,rolliji01,2003,165,8,25
16,vidrojo01,2003,158,15,29
16,walketo04,2003,166,13,30
16,alfoned01,2004,150,11,31
16,bautida01,2004,154,11,32
16,burrose01,2004,156,2,24
16,castilu01,2004,164,2,29
16,claytro01,2004,160,8,34
16,eckstda01,2004,156,2,29
16,furcara01,2004,157,14,27
16,guzmacr01,2004,158,8,26
16,hattesc01,2004,156,15,35
16,jimenda01,2004,152,12,27
16,lugoju01,2004,160,7,29
16,milesaa01,2004,153,6,28
16,podsesc01,2004,156,12,28
16,redmati01,2004,153,8,27
16,vizquom01,2004,165,7,37
16,beltrca01,2005,155,16,28
16,berroan01,2005,164,11,27
16,canoro01,2005,155,14,23
16,caseyse01,2005,165,9,31
16,gilesbr02,2005,164,15,34
16,grudzma01,2005,155,8,35
16,ingebr01,2005,161,16,28
16,kendaja01,2005,163,0,31
16,kotsama01,2005,163,15,30
16,muellbi02,2005,153,10,34
16,perezne01,2005,157,9,32
16,rowanaa01,2005,156,13,28
16,stewash01,2005,151,10,31
16,vizquom01,2005,154,3,38
16,wilsoja02,2005,151,8,28
16,betanyu01,2006,161,8,24
16,blaloha01,2006,157,16,26
16,derosma01,2006,154,13,31
16,figgich01,2006,161,9,28
16,gilesbr02,2006,159,14,35
16,gonzalu01,2006,159,15,39
16,grudzma01,2006,163,7,36
16,hillaa01,2006,159,6,24
16,kendaja01,2006,163,1,32
16,loducpa01,2006,163,5,34
16,paytoja01,2006,165,10,34
16,roberbr01,2006,161,10,29
16,rodriiv01,2006,164,13,35
16,winnra01,2006,150,11,32
16,youklke01,2006,159,13,27
16,betanyu01,2007,155,9,25
16,blakeca01,2007,159,18,34
16,dejesda01,2007,157,7,28
16,furcara01,2007,157,6,30
16,hudsoor01,2007,152,10,30
16,huffau01,2007,154,15,31
16,kearnau01,2007,156,16,27
16,pedrodu01,2007,165,8,24
16,renteed01,2007,164,12,31
16,teahema01,2007,155,7,26
16,anderga01,2008,163,15,36
16,betanyu01,2008,156,7,26
16,canoro01,2008,162,14,26
16,dejesda01,2008,159,12,29
16,ellsbja01,2008,155,9,25
16,jacksco01,2008,162,12,26
16,johnske05,2008,157,12,26
16,martiru01,2008,155,13,25
16,molinbe01,2008,155,16,34
16,rolliji01,2008,154,11,30
16,sanchfr01,2008,154,9,31
16,schumsk01,2008,163,8,28
16,aybarer01,2009,157,5,25
16,bartlja01,2009,160,14,30
16,cabreas01,2009,161,6,24
16,coghlch01,2009,162,9,24
16,dejesda01,2009,157,13,30
16,escobyu01,2009,158,14,27
16,felizpe01,2009,154,12,34
16,furcara01,2009,165,9,32
16,gutiefr01,2009,160,18,26
16,guzmacr01,2009,151,6,31
16,hudsoor01,2009,156,9,32
16,kennead01,2009,153,11,33
16,loneyja01,2009,162,13,25
16,podsesc01,2009,163,7,33
16,schumsk01,2009,161,4,29
16,scutama01,2009,162,12,34
16,suzukku01,2009,156,15,26
16,wellsve01,2009,164,15,31
16,wrighda03,2009,164,10,27
16,andruel01,2010,156,0,22
16,bartoda02,2010,152,10,25
16,cuddymi01,2010,165,14,31
16,drewst01,2010,157,15,27
16,figgich01,2010,156,1,32
16,headlch01,2010,161,11,26
16,infanom01,2010,151,8,29
16,loneyja01,2010,157,10,26
16,mccutan01,2010,163,16,24
16,polanpl01,2010,165,6,35
16,reyesjo01,2010,159,11,27
16,andruel01,2011,164,5,23
16,aybarer01,2011,155,10,27
16,guerrvl01,2011,163,13,36
16,infanom01,2011,160,7,30
16,jeterde01,2011,162,6,37
16,kotchca01,2011,153,10,28
16,leeca01,2011,161,18,35
16,loneyja01,2011,153,12,27
16,walkene01,2011,163,12,26
16,alonsyo01,2012,150,9,25
16,aokino01,2012,150,10,30
16,aybarer01,2012,150,8,28
16,brantmi02,2012,159,6,25
16,cabreme01,2012,159,11,28
16,jacksau01,2012,163,16,25
16,kendrho01,2012,158,8,29
16,pedrodu01,2012,163,15,29
16,ramiral03,2012,157,9,31
16,brantmi02,2013,158,10,26
16,castrst01,2013,163,10,23
16,craigal01,2013,160,13,29
16,deazaal01,2013,160,17,29
16,jacksau01,2013,150,12,26
16,jayjo02,2013,151,7,28
16,johnsch05,2013,165,12,29
16,kipnija01,2013,160,17,26
16,loneyja01,2013,164,13,29
16,molinya01,2013,161,12,31
16,parrage01,2013,161,10,26
16,phillbr01,2013,158,18,32
16,rolliji01,2013,151,6,35
16,andruel01,2014,163,2,26
16,aybarer01,2014,164,7,30
16,carpema01,2014,162,8,29
16,castrst01,2014,154,14,24
16,ellsbja01,2014,156,16,31
16,escobal02,2014,165,3,28
16,harrijo05,2014,164,13,27
16,heywaja01,2014,155,11,25
16,hunteto01,2014,157,17,39
16,johnsch05,2014,153,10,30
16,morneju01,2014,160,17,33
16,pedrodu01,2014,153,7,31
16,utleych01,2014,159,11,36
16,werthja01,2014,156,16,35
16,yelicch01,2014,165,9,23
16,zobribe01,2014,155,10,33
14,bakerdu01,1980,170,29,31
14,brettge01,1980,175,24,27
14,chambch01,1980,170,18,32
14,hendrge01,1980,173,25,31
14,morriji01,1980,171,15,28
14,singlke01,1980,177,24,33
14,yountro01,1980,179,23,25
14,baineha01,1982,165,25,23
14,bakerdu01,1982,171,23,33
14,brettge01,1982,166,21,29
14,davisch01,1982,167,19,22
14,downibr01,1982,175,28,32
14,durhale01,1982,168,22,25
14,herndla01,1982,179,23,29
14,hrbekke01,1982,160,23,22
14,kempst01,1982,166,19,28
14,kennete02,1982,166,21,26
14,luzingr01,1982,170,18,32
14,matthga01,1982,173,19,32
14,riceji01,1982,177,24,29
14,wardga01,1982,165,28,29
14,baineha01,1983,167,20,24
14,baylodo01,1983,162,21,34
14,bucknbi01,1983,175,16,34
14,hendrge01,1983,168,18,34
14,mosebll01,1983,170,18,24
14,thondi01,1983,177,20,25
14,upshawi01,1983,177,27,26
14,wardga01,1983,173,19,30
14,wrighge03,1983,175,18,25
14,baineha01,1984,173,29,25
14,bellge02,1984,177,26,25
14,cartega01,1984,175,27,30
14,hayesvo01,1984,164,16,26
14,hernake01,1984,171,15,31
14,hrbekke01,1984,174,27,24
14,mosebll01,1984,166,18,25
14,parkeda01,1984,173,16,33
14,parrila01,1984,175,22,31
14,wardga01,1984,171,21,31
14,bellge02,1985,167,28,26
14,davisal01,1985,166,18,25
14,doranbi02,1985,166,14,27
14,gibsoki01,1985,167,29,28
14,henderi01,1985,172,24,27
14,hrbekke01,1985,165,21,25
14,jacobbr01,1985,166,20,26
14,samueju01,1985,175,19,25
14,wardga01,1985,170,15,32
14,whitalo01,1985,170,21,28
14,wilsogl01,1985,167,14,27
14,winfida01,1985,174,26,34
14,baineha01,1986,169,21,27
14,bernato01,1986,169,17,30
14,bucknbi01,1986,168,18,37
14,jacobbr01,1986,168,17,27
14,joynewa01,1986,172,22,24
14,lansfca01,1986,168,19,29
14,obriepe03,1986,160,23,28
14,ripkeca01,1986,177,25,26
14,basske01,1987,168,19,28
14,davisal01,1987,171,29,27
14,hernake01,1987,170,18,34
14,molitpa01,1987,164,16,31
14,mosebll01,1987,167,26,28
14,murraed02,1987,171,30,31
14,obriepe03,1987,163,23,29
14,raineti01,1987,175,18,28
14,santibe01,1987,164,18,22
14,sierrru01,1987,169,30,22
14,vanslan01,1987,165,21,27
14,wallati01,1987,177,26,30
14,webstmi01,1987,165,15,28
14,whitede03,1987,168,24,25
14,bellge02,1988,165,24,29
14,brookhu01,1988,164,20,32
14,cartejo01,1988,168,27,28
14,davisch01,1988,161,21,28
14,dawsoan01,1988,179,24,34
14,evansdw01,1988,164,21,37
14,murraed02,1988,171,28,32
14,sandbry01,1988,163,19,29
14,vanslan01,1988,169,25,28
14,winfida01,1988,180,25,37
14,bonilbo01,1989,173,24,26
14,guerrpe01,1989,177,17,33
14,joynewa01,1989,167,16,27
14,ripkeca01,1989,166,21,29
14,burksel01,1990,174,21,26
14,caldeiv01,1990,166,14,28
14,clarkwi02,1990,177,19,26
14,dawsoan01,1990,164,27,36
14,griffke02,1990,179,22,21
14,jeffegr01,1990,171,15,23
14,maldoca01,1990,161,22,30
14,parkeda01,1990,176,21,39
14,sierrru01,1990,170,16,25
14,bellja01,1991,164,16,26
14,bonilbo01,1991,174,18,28
14,clarkwi02,1991,170,29,27
14,griffke02,1991,179,22,22
14,joynewa01,1991,166,21,29
14,martied01,1991,167,14,28
14,saboch01,1991,175,26,29
14,sandbry01,1991,170,26,32
14,venturo01,1991,172,23,24
14,anderbr01,1992,169,21,28
14,frymatr01,1992,175,20,23
14,griffke02,1992,174,27,23
14,lankfra01,1992,175,20,25
14,palmera01,1992,163,22,28
14,venturo01,1992,167,16,25
14,winfida01,1992,169,26,41
14,bagweje01,1993,171,20,25
14,bicheda01,1993,167,21,30
14,biggicr01,1993,175,21,28
14,galaran01,1993,174,22,32
14,gilkebe01,1993,170,16,27
14,hayesch01,1993,175,25,28
14,krukjo01,1993,169,14,32
14,murraed02,1993,174,27,37
14,pendlte01,1993,172,17,33
14,ripkeca01,1993,165,24,33
14,biggicr01,1995,167,22,30
14,puckeki01,1995,169,23,35
14,willibe02,1995,173,18,27
14,bellde01,1996,165,17,28
14,bonilbo01,1996,171,28,33
14,coninje01,1996,175,26,30
14,frymatr01,1996,165,22,27
14,martied01,1996,163,26,33
14,martiti02,1996,174,25,29
14,mcraebr01,1996,172,17,29
14,morriha02,1996,165,16,31
14,oneilpa01,1996,165,19,33
14,ripkeca01,1996,178,26,36
14,willibe02,1996,168,29,28
14,anderbr01,1997,170,18,33
14,bellja01,1997,167,21,32
14,bicheda01,1997,173,26,34
14,bonilbo01,1997,167,17,34
14,frymatr01,1997,163,22,28
14,hollida01,1997,165,16,31
14,jonesch06,1997,176,21,25
14,lansimi01,1997,161,20,29
14,oneilpa01,1997,179,21,34
14,ripkeca01,1997,166,17,37
14,rodrial01,1997,176,23,22
14,valenjo02,1997,176,18,30
14,willibe02,1997,167,21,29
14,alomaro01,1998,166,14,30
14,clarkwi02,1998,169,23,34
14,damonjo01,1998,178,18,25
14,floydcl01,1998,166,22,26
14,giambja01,1998,166,27,27
14,grievbe01,1998,168,18,22
14,heltoto01,1998,167,25,25
14,higgibo02,1998,174,25,28
14,jordabr01,1998,178,25,31
14,larkiba01,1998,166,17,34
14,oleartr01,1998,165,23,29
14,surhobj01,1998,160,22,34
14,walkela01,1998,165,23,32
14,willibe02,1998,169,26,30
14,youngdm01,1998,166,14,25
14,bellda01,1999,160,21,27
14,brognri01,1999,172,24,29
14,greerru01,1999,167,20,30
14,grissma02,1999,161,20,32
14,jonesan01,1999,163,26,22
14,jordabr01,1999,163,23,32
14,knoblch01,1999,176,18,31
14,martied01,1999,169,24,36
14,oleartr01,1999,167,28,30
14,olerujo01,1999,173,19,31
14,oneilpa01,1999,170,19,36
14,whitero02,1999,168,22,27
14,youngke01,1999,174,26,30
14,zeileto01,1999,172,24,34
14,alfoned01,2000,176,25,27
14,durhara01,2000,172,17,29
14,greensh01,2000,164,24,28
14,grievbe01,2000,166,27,24
14,leeca01,2000,172,24,24
14,longte01,2000,168,18,24
14,tejadmi01,2000,167,30,26
14,willige02,2000,173,21,34
14,youngdm01,2000,166,18,27
14,abreubo01,2001,170,31,27
14,aloumo01,2001,170,27,35
14,cirilje01,2001,165,17,32
14,durhara01,2001,163,20,30
14,glanvdo01,2001,166,14,31
14,jordabr01,2001,165,25,34
14,mientdo01,2001,166,15,27
14,olerujo01,2001,173,21,33
14,sweenmi01,2001,170,29,28
14,willibe02,2001,166,26,33
14,youngdm01,2001,163,21,28
14,abreubo01,2002,176,20,28
14,beltrca01,2002,174,29,25
14,boonebr01,2002,169,24,33
14,jonesch06,2002,179,26,30
14,jonesja04,2002,173,27,27
14,konerpa01,2002,173,27,26
14,kotsama01,2002,169,17,27
14,lowelmi01,2002,165,24,28
14,olerujo01,2002,166,22,34
14,wellsve01,2002,167,23,24
14,abreubo01,2003,173,20,29
14,berroan01,2003,163,17,25
14,biggicr01,2003,166,15,38
14,blaloha01,2003,170,29,23
14,caseyse01,2003,167,14,29
14,chaveer01,2003,166,29,26
14,encarju01,2003,162,19,27
14,gibboja01,2003,173,23,26
14,gilesma01,2003,174,21,25
14,gonzalu01,2003,176,26,36
14,greensh01,2003,171,19,31
14,grissma02,2003,176,20,36
14,jonesch06,2003,169,27,31
14,muellbi02,2003,171,19,32
14,tejadmi01,2003,177,27,29
14,youngdm01,2003,167,29,30
14,berkmla01,2004,172,30,28
14,biggicr01,2004,178,24,39
14,byrneer01,2004,161,20,28
14,durazer01,2004,164,22,30
14,fordle01,2004,170,15,28
14,gilesbr02,2004,173,23,33
14,guillca01,2004,166,20,29
14,guilljo01,2004,166,27,28
14,lawtoma02,2004,164,20,33
14,lowelmi01,2004,175,27,30
14,overbly01,2004,174,16,27
14,patteco01,2004,168,24,25
14,rodriiv01,2004,176,19,33
14,soriaal01,2004,170,28,28
14,abreubo01,2005,168,24,31
14,anderga01,2005,163,17,33
14,blaloha01,2005,170,25,25
14,cantujo01,2005,171,28,23
14,chaveer01,2005,168,27,28
14,gilesma01,2005,168,15,27
14,greensh01,2005,166,22,33
14,heltoto01,2005,163,20,32
14,hillesh02,2005,173,18,30
14,ibanera01,2005,172,20,33
14,lopezfe01,2005,169,23,25
14,martivi01,2005,167,20,27
14,morame01,2005,168,27,33
14,roberbr01,2005,176,18,28
14,wellsve01,2005,167,28,27
14,wrighda03,2005,176,27,23
14,beltrad01,2006,166,25,27
14,canoro01,2006,165,15,24
14,damonjo01,2006,169,24,33
14,francje02,2006,169,29,22
14,gonzaad01,2006,173,24,24
14,guillca01,2006,174,19,31
14,heltoto01,2006,165,15,33
14,hudsoor01,2006,166,15,29
14,lowelmi01,2006,163,20,32
14,morame01,2006,171,16,34
14,ordonma01,2006,177,24,32
14,tracych01,2006,168,20,26
14,ugglada01,2006,172,27,26
14,zimmery01,2006,176,20,22
